clase,tipo,rank,token,delta_mean_tfidf
4,errores>aciertos,1,articulo,0.058896280902667617
4,errores>aciertos,2,minimos,0.05759093831912131
4,errores>aciertos,3,licencia,0.05569968843477805
4,errores>aciertos,4,medida,0.051473806470147314
4,errores>aciertos,5,desarrollo,0.04860121401244691
4,errores>aciertos,6,ademas,0.046550845923787595
4,errores>aciertos,7,nivel,0.04610587481511655
4,errores>aciertos,8,aprendices,0.04549325117112893
4,errores>aciertos,9,pobres,0.04476026541996219
4,errores>aciertos,10,fiscales,0.04450005805594673
4,aciertos>errores,1,estudiantes,0.054508061229417294
4,aciertos>errores,2,escuelas,0.038007804894964206
4,aciertos>errores,3,evaluacion,0.03205422567805271
4,aciertos>errores,4,aprendizaje,0.02618893562945952
4,aciertos>errores,5,superior,0.02534660291903973
4,aciertos>errores,6,docentes,0.023478826685565193
4,aciertos>errores,7,habilidades,0.02170674288087137
4,aciertos>errores,8,alumnos,0.021620881348449195
4,aciertos>errores,9,profesional,0.021358705517226326
4,aciertos>errores,10,profesores,0.020695312435144136
